feature,cohens_d,lo,hi,cliffs_delta
hapax_ratio,-0.1966180181749407,-0.2943735144164375,-0.10307949593231214,-0.1251380746725345
compression_ratio,-0.18843846908624146,-0.28418081493579184,-0.08261005504946202,-0.09692540957135272
word_count,0.12011797733153035,0.00314254862618354,0.24213986699491793,0.05887208455807894
repetition_score,0.049436200544335326,-0.04339688546161437,0.1573387555267038,0.04921534175191991
mtld,-0.03968808311900938,-0.21374040884910578,0.09736177898253423,-0.0808863052914484
avg_word_length,-0.029560329138160816,-0.12849191194920662,0.07047193157468737,-0.021583986074847693
